block,street_name,lat,lng
122,MARSILING RISE,1.43917415,103.77967607557258
332,WOODLANDS AVE 1,1.42975,103.779126
133,BT BATOK WEST AVE 6,1.3515905,103.74500141311475
438C,BT BATOK WEST AVE 8,1.357735,103.739623
468B,BT BATOK WEST AVE 9,1.3568353499999999,103.74322540875748
410,EUNOS RD 5,1.3184317,103.89983843961156
806,HOUGANG CTRL,1.37108,103.894103
586,PASIR RIS ST 53,1.37521165,103.94794234815134
672A,EDGEFIELD PLAINS,1.40645615,103.9126801
495B,TAMPINES ST 43,1.3627953,103.95129326299707
626A,TAMPINES ST 61,1.36264855,103.94008515202529
268,YISHUN ST 22,1.437099,103.83959
477A,YISHUN ST 44,1.4293233,103.8522948
478B,YISHUN ST 44,1.4293233,103.8522948
637A,YISHUN ST 61,1.420469,103.839242
245,HOUGANG ST 22,1.358406,103.891722
404,HOUGANG AVE 10,1.373839,103.895833
115B,JLN AYER,1.3118485500000001,103.87327623730144
26A,ST. GEORGE'S LANE,1.3225212000000002,103.86237544590969
126A,CANBERRA ST,1.4452829,103.83524491563887
457A,SENGKANG WEST RD,1.3924623,103.87045692758136
609B,TAMPINES NTH DR 1,1.363659,103.935808
619B,TAMPINES ST 61,1.36186925,103.93945440209359
622A,TAMPINES AVE 12,1.36111175,103.94005684942542
104A,BIDADARI PK DR,1.3353525,103.87079065942599
258,YISHUN ST 22,1.435154,103.839797
708,YISHUN AVE 5,1.42872825,103.8272493
453,ANG MO KIO AVE 10,1.3686099,103.856046
424,BT BATOK WEST AVE 2,1.3617791499999998,103.74555952922458
464A,BT BATOK WEST AVE 8,1.35748355,103.74193747532104
43,MOH GUAN TER,1.28467,103.831049
38A,PINE LANE,1.308887,103.884249
136,LOR AH SOO,1.349664,103.886302
104,JURONG EAST ST 13,1.336595,103.73765877513685
202,JURONG EAST ST 21,1.3367394,103.74295680025551
608,ELIAS RD,1.375868,103.94303728156203
356B,ANCHORVALE LANE,1.39390925,103.88428734407734
612B,TAMPINES NTH DR 1,1.36533,103.935113
886A,TAMPINES ST 83,1.351751,103.93221704758497
127,MARSILING RISE,1.4381388,103.7794674
104,BISHAN ST 12,1.3456362,103.84804038263277
302,BT BATOK ST 31,1.35710715,103.74845327277754
127,BT MERAH LANE 1,1.285478,103.8034757
916,JURONG WEST ST 91,1.34067515,103.68780670444932
422B,NORTHSHORE DR,1.4199285,103.90494473119885
53,STRATHMORE AVE,1.2927719,103.80842240563408
238,TAMPINES ST 21,1.35575595,103.94658347341051
474,TAMPINES ST 43,1.3599918500000001,103.95299634473014
251,YISHUN RING RD,1.434772,103.841395
153A,BEDOK STH RD,1.3193535,103.9470048806898
10,JLN RUMAH TINGGI,1.2881296,103.80840452771074
17,ST. GEORGE'S RD,1.3238821,103.86243253095384
421C,NORTHSHORE DR,1.4192268,103.905285
422A,NORTHSHORE DR,1.41973035,103.90401841317987
39A,MARGARET DR,1.2972811499999999,103.8063632783218
618A,TAMPINES ST 61,1.36235085,103.93887448789683
876C,TAMPINES AVE 8,1.3531053,103.93026173238917
548,ANG MO KIO AVE 10,1.3729208499999999,103.85705654606744
174,BT BATOK WEST AVE 8,1.34562095,103.74109136500994
467A,BT BATOK WEST AVE 9,1.3566447,103.74399765436003
29,LIM LIAK ST,1.2853913,103.83039962291882
640A,SENJA CL,1.38766535,103.76143311466137
103B,CANBERRA ST,1.45066685,103.83133175609598
109A,CANBERRA WALK,1.448025,103.8308225
112A,ALKAFF CRES,1.33554295,103.87331596568886
112B,ALKAFF CRES,1.3358935,103.87350479372896
172A,LOR 1 TOA PAYOH,1.33029,103.842434
261,YISHUN ST 22,1.4364339,103.8374596
91B,JLN SATU,1.3101262999999999,103.88857062404605
402B,FERNVALE LANE,1.38830665,103.87083488114574
152B,BEDOK STH RD,1.3181726999999999,103.94727498530972
153C,BEDOK STH RD,1.3186892000000001,103.9464107823909
23,LIM LIAK ST,1.2854742,103.83171792228572
643B,SENJA CL,1.38856985,103.76293477609272
377B,HOUGANG ST 32,1.3622172,103.89467373205778
413C,NORTHSHORE DR,1.41721945,103.90103533734265
608B,TAMPINES NTH DR 1,1.363338,103.934623
614A,TAMPINES NTH DR 1,1.363338,103.934623
623B,TAMPINES AVE 12,1.3614171000000002,103.94106373906851
624B,TAMPINES AVE 12,1.3620863,103.94133343041332
646B,TAMPINES ST 62,1.3666614,103.94244531530612
101A,BIDADARI PK DR,1.3368465999999999,103.87105916369177
102B,BIDADARI PK DR,1.33649555,103.87185043671985
571A,WOODLANDS AVE 1,1.4302199999999998,103.79100406549661
222A,BEDOK NTH DR,1.3249640500000002,103.9278649
317,BT BATOK ST 32,1.36063335,103.74765589366703
90B,JLN SATU,1.3106045000000002,103.88837969485294
92A,JLN SATU,1.309493,103.88876441391605
646,HOUGANG AVE 8,1.37185055,103.8807529
994B,BUANGKOK LINK,1.385852,103.883381
225,JURONG EAST ST 21,1.34175895,103.73724133869968
115A,JLN AYER,1.3115974499999998,103.8727758083771
456A,SENGKANG WEST RD,1.39166875,103.86987652118653
458C,SENGKANG WEST RD,1.39273635,103.87117796842736
648B,TAMPINES ST 62,1.3675514500000001,103.94035101674206
641A,SENJA CL,1.38788505,103.76181526611964
612,HOUGANG AVE 8,1.369374,103.885326
993B,BUANGKOK LINK,1.385056,103.882827
34,MARGARET DR,1.2980487,103.8049277860344
101B,CANBERRA ST,1.45168565,103.83119071447486
106A,BIDADARI PK DR,1.33420395,103.87098401401012
799A,WOODLANDS DR 60,1.4466599,103.79986554161701
35,LIM LIAK ST,1.2851036,103.83102337777777
91A,JLN SATU,1.3099667,103.88821175366945
423B,NORTHSHORE CRES,1.4184561,103.9067557
55,STIRLING RD,1.29655305,103.80417322110675
216C,COMPASSVALE DR,1.3904329,103.8942746481352
645B,TAMPINES ST 62,1.36602565,103.94237326215904
17,SENG POH RD,1.2853,103.833233
356D,UBI RD 3,1.3270228,103.89998355796871
83A,CIRCUIT RD,1.3233193,103.88944928143934
401A,NORTHSHORE DR,1.4144318500000002,103.90075025487482
311,SERANGOON AVE 2,1.3537746,103.8663368
